"id"	"description"	"en"	"local"
""	""	"New Game"	"Нова гра"
""	""	"Waiting for server..."	"Очікування сервера..."
""	""	"Joined"	"Доєднався"
""	""	"There are ### players connected"	"Зараз підключено ### гравців"
""	""	"Player Joined"	"Гравець Доєднався"
""	""	"### has joined the game"	"### доєднався до гри"
""	""	"Player Disconnected"	"Гравець Відключився"
""	""	"### has left the game"	"### вийшов з гри"
""	""	"SET ROGUE MODE SAVE"	"ВИБРАТИ РЕЖИМ ЗБЕРЕЖЕННЯ"
""	""	"SERVER SLOWDOWN"	"СЕРВЕР ЗПОВІЛЬНЕНИЙ"
""	""	"### is slowing the game."	"### сповільнює гру."
""	""	"Error connecting to server:"	"Помилка підключення до серверу:"
""	""	"Connecting to server..."	"Підключення до серверу..."
""	""	"Joining game..."	"Приєднання до гри..."
""	""	"NEW GAME"	"НОВА ГРА"
""	""	"LOAD GAME"	"ЗАВАНТАЖИТИ ЗБЕРЕЖЕНУ ГРУ"
""	""	"NEW MULTIPLAYER GAME"	"НОВА МУЛЬТИПЛЕЄРНА ГРА"
""	""	"LOAD MULTIPLAYER GAME"	"ЗАВАНТАЖИТИ"
""	""	"Invalid password"	"Неправильний пароль"
""	""	"Incompatible game version"	"Несумісна версія гри"
""	""	"server version"	"версія сервера"
""	""	"Server is full"	"Сервер повний"
""	""	"Server is not open to multiplayer"	"Сервер не відкритий для мультиплеєру"
""	""	"You are not whitelisted on this server"	"Вас немає в білому списку серверу"
""	""	"You are missing a required DLC"	"У вас відсутнє потрібне DLC"
""	""	"You are banned from this server"	"Ви заблоковані на цьому сервері"
""	""	"no errors detected"	"помилок не виявлено"
""	""	"Variables"	"Змінні"
""	""	"Input 1"	"Вхід 1"
""	""	"Input 2"	"Вхід 2"
""	""	"Input 3"	"Вхід 3"
""	""	"Input 4"	"Вхід 4"
""	""	"Input 5"	"Вхід 5"
""	""	"Input 6"	"Вхід 6"
""	""	"Input 7"	"Вхід 7"
""	""	"Input 8"	"Вхід 8"
""	""	"Constants"	"Константи"
""	""	"Operators"	"Оператори"
""	""	"Addition"	"Додавання"
""	""	"Subtraction"	"Віднімання"
